ID,Rank (Temp),User,Rank,Score,SS,SSW,Place,Set Win Rate,Game Win Rate,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Color,Color_Alt,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Sets Played,Tourneys Played
86,57,Lidl,57,48.452,60.8249,42.737,55.22333,62.5,60,50,---,---,100,---,---,0,---,---,66.67,---,50,100,---,---,---,---,50,---,100,---,100,---,---,---,9EE1F5,2AB3D6,4,0,0,1,0,0,3,0,0,3,0,2,2,0,0,0,0,2,0,1,0,2,0,0,0,8,2
75,58,tako,58,47.381,82.4366,77.158,83.33,60,52.38,---,---,---,---,---,---,33.33,---,---,33.33,---,50,100,---,---,---,50,---,---,---,---,---,33.33,---,75,9EE1F5,2AB3D6,0,0,0,0,0,0,3,0,0,3,0,2,2,0,0,0,4,0,0,0,0,0,3,0,4,5,1
139,59,Fluffy,59,47.298,77.91875,66.498,55.56,50,44.44,100,---,---,0,---,---,100,---,---,---,---,---,0,---,---,---,0,0,---,100,---,---,100,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,0,0,4,1
97,60,dragib,60,47.189,58.566,48.646,55.56,75,66.67,50,---,---,---,---,---,0,---,---,100,---,100,100,---,---,---,---,100,---,---,---,100,---,---,---,9EE1F5,2AB3D6,2,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,4,1
124,61,Rocko,61,47.116,74.84467,58.756,48.11778,44.44,50,0,---,---,66.67,---,---,33.33,---,---,50,---,40,100,---,---,---,---,75,---,50,---,50,---,---,---,9EE1F5,2AB3D6,3,0,0,3,0,0,3,0,0,4,0,5,2,0,0,0,0,4,0,2,0,2,0,0,0,9,2
180,62,noctura,62,47.007,60.59625,32.361,50,50,54.55,100,---,0,---,---,---,0,---,---,100,---,50,---,---,---,---,---,100,---,---,---,100,0,---,---,9EE1F5,2AB3D6,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,4,1
181,62,Castella,62,47.007,60.59625,32.361,50,50,54.55,100,---,0,---,---,---,0,---,---,100,---,50,---,---,---,---,---,100,---,---,---,100,0,---,---,9EE1F5,2AB3D6,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,4,1
122,64,PayUrTaxes,64,45.251,83.6548,76.904,57.89,40,50,50,---,---,50,---,---,0,---,---,100,---,100,100,---,---,---,---,0,---,50,---,0,---,---,---,9EE1F5,2AB3D6,2,0,0,2,0,0,1,0,0,1,0,2,2,0,0,0,0,2,0,2,0,2,0,0,0,5,1
63,66,Leon,65,45.171,48.4264,48.426,100,100,92.86,100,---,---,100,---,---,---,---,---,100,---,---,100,---,---,---,---,50,---,100,---,---,100,---,---,9EE1F5,2AB3D6,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,5,1
70,65,--- 1,66,45.18,77.15744,74.213,59.52,55.56,46.43,33.33,---,---,50,---,---,0,---,---,0,---,0,66.67,---,---,---,---,66.67,---,33.33,---,100,80,---,50,9EE1F5,2AB3D6,3,0,0,2,0,0,1,0,0,4,0,1,3,0,0,0,0,3,0,3,0,1,5,0,2,9,2
